date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:02	123622/123622	---M--	200	added ('OK')	image/jpeg	etag:%228682714-1e2e6-56ae6f3ca6f68%22	https://www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/04/20180409_125622-1.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/04/20180409_125622-1.jpg	(from https://www.yogainindia.co.in/blogyoga/)
18:54:03	1175/1175	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Mar%202019%2013:23:58%20GMT	http://www.yogainindia.co.in/page/class	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/page/class.121.delayed	(from https://www.yogainindia.co.in/blogyoga/)
18:54:04	93017/93017	---M--	200	added ('OK')	image/png	etag:%2286826ca-16b59-56ac0fc9c9470%22	https://www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/04/blogyoga-1.png	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/04/blogyoga-1.png	(from https://www.yogainindia.co.in/blogyoga/)
18:54:04	12570/12570	---M--	200	added ('OK')	image/jpeg	etag:%228681f47-311a-56b9cdbf2cdef%22	https://www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/mkhi-360x240.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/mkhi-360x240.jpg	(from https://www.yogainindia.co.in/blogyoga/)
18:54:06	73640/73640	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Mar%202019%2013:24:00%20GMT	https://www.yogainindia.co.in/blogyoga/search/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/search/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:06	16379/16379	---M--	200	added ('OK')	image/jpeg	etag:%228681f39-3ffb-56b76f91fa548%22	https://www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/pranayam-360x240.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/pranayam-360x240.123.delayed	(from https://www.yogainindia.co.in/blogyoga/)
18:54:06	99246/99246	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:24:00%20GMT	https://www.yogainindia.co.in/blogyoga/category/yoga/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/category/yoga/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:07	101172/101172	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:24:01%20GMT	https://www.yogainindia.co.in/blogyoga/2019/02/24/meditation/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/2019/02/24/meditation/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:08	48005/48005	---M--	200	added ('OK')	image/jpeg	etag:%228681f1d-bb85-56b76c46c8aea%22	https://www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/Chanakya-Niti-Nature-of-diet2-360x240.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/Chanakya-Niti-Nature-of-diet2-360x240.jpg	(from https://www.yogainindia.co.in/blogyoga/)
18:54:08	92746/92746	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:24:02%20GMT	https://www.yogainindia.co.in/blogyoga/author/mohan/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/author/mohan/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:09	102548/102548	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:24:02%20GMT	https://www.yogainindia.co.in/blogyoga/2019/02/03/307/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/2019/02/03/307/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:09	15071/15071	---M--	200	added ('OK')	image/jpeg	etag:%228681ef1-3adf-56b75393d8ae2%22	https://www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/on-ac-sleeping-360x240.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/on-ac-sleeping-360x240.jpg	(from https://www.yogainindia.co.in/blogyoga/)
18:54:10	89167/89167	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:24:04%20GMT	https://www.yogainindia.co.in/blogyoga/category/yoga-student-reviews/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/category/yoga-student-reviews/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:10	104536/104536	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:24:04%20GMT	https://www.yogainindia.co.in/blogyoga/2019/01/30/all-power-is-within-youyou-can-do-anything-and-everything-believe-in-thatdo-not-believe-that-you-are-weak-stand-up-and-express-the-divinity-within-you/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/2019/01/30/all-power-is-within-youyou-can-do-anything-and-/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:11	95592/95592	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:24:05%20GMT	https://www.yogainindia.co.in/blogyoga/2019/01/29/kundalini-ttc/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/2019/01/29/kundalini-ttc/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:12	46270/46270	---M--	200	added ('OK')	image/jpeg	etag:%228681f2b-b4be-56b76d968cedc%22	https://www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/Chanakya-Niti-Nature-of-diet-hindi-360x240.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/uploads/2018/05/Chanakya-Niti-Nature-of-diet-hindi-360x240.jpg	(from https://www.yogainindia.co.in/blogyoga/)
